symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
AIT,NYSE,XNYS,"Applied Industrial Technologies, Inc. Common Stock",USD,Common Stock,37751071,2025-10-19 04:10:31.093217,1
AIV,NYSE,XNYS,Apartment Investment and Management Company Common Stock,USD,Common Stock,142331227,2025-10-19 04:10:31.097131,1
AIZ,NYSE,XNYS,"Assurant, Inc. Common Stock",USD,Common Stock,50459211,2025-10-19 04:10:31.124297,1
AJG,NYSE,XNYS,Arthur J. Gallagher & Co. Common Stock,USD,Common Stock,256363000,2025-10-19 04:10:31.100799,1
AKA,NYSE,XNYS,a.k.a. Brands Holding Corp. Common Stock,USD,Common Stock,10844082,2025-10-19 04:10:31.211531,1
AKR,NYSE,XNYS,Acadia Realty Trust Common Stock,USD,Common Stock,131013079,2025-10-19 04:10:31.217773,1
AL,NYSE,XNYS,Air Lease Corporation Class A Common Stock,USD,Common Stock,111765032,2025-10-19 04:10:31.527527,1
ALB,NYSE,XNYS,Albemarle Corporation Common Stock,USD,Common Stock,117682932,2025-10-19 04:10:31.530379,1
ALEX,NYSE,XNYS,"Alexander & Baldwin, Inc. Common Stock REIT Holding Company",USD,Common Stock,72753270,2025-10-19 04:10:31.962022,1
ALC,NYSE,XNYS,Alcon Inc. Ordinary Shares,USD,Common Stock,494400000,2025-10-19 04:10:31.953786,1
ALE,NYSE,XNYS,"Allete, Inc.",USD,Common Stock,58035364,2025-10-19 04:10:31.959144,1
ALG,NYSE,XNYS,"Alamo Group, Inc. Common Stock",USD,Common Stock,12110910,2025-10-19 04:10:31.984741,1
ALH,NYSE,XNYS,Alliance Laundry Holdings Inc. Common Stock,USD,Common Stock,202826920,2025-10-19 04:10:31.956330,1
ALIT,NYSE,XNYS,"Alight, Inc. Class A Common Stock",USD,Common Stock,528867922,2025-10-19 04:10:31.985577,1
ALK,NYSE,XNYS,"Alaska Air Group, Inc. Common Stock",USD,Common Stock,115310451,2025-10-19 04:10:31.985100,1
ALL,NYSE,XNYS,Allstate Corporation (The) Common Stock,USD,Common Stock,263505334,2025-10-19 04:10:32.397537,1
ALLE,NYSE,XNYS,Allegion plc Ordinary Shares,USD,Common Stock,85846520,2025-10-19 04:10:32.511594,1
ALSN,NYSE,XNYS,"Allison Transmission Holdings, Inc. Common Stock",USD,Common Stock,83616722,2025-10-19 04:10:32.531758,1
ALLY,NYSE,XNYS,Ally Financial Inc. Common Stock,USD,Common Stock,307808031,2025-10-19 04:10:32.832408,1
ALTG,NYSE,XNYS,Alta Equipment Group Inc. Class A Common Stock,USD,Common Stock,32047943,2025-10-19 04:10:32.829718,1
ALUR,NYSE,XNYS,"Allurion Technologies, Inc. Common Stock",USD,Common Stock,7762681,2025-10-19 04:10:32.836885,1
ALV,NYSE,XNYS,"Autoliv, Inc. Common Stock",USD,Common Stock,75965348,2025-10-19 04:10:32.960739,1
